query,query_type,collection,search_time,avg_similarity_score,relevance_score,topic_coverage,topics_found,num_results
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,bert-500tokens,0.011091947555541992,0.8204239619999999,0.0,0.0,[],5
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,bert-300tokens,0.009865045547485352,0.8282490919999999,0.0,0.0,[],5
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,biobert-500tokens,0.00970315933227539,0.85925747,0.0,0.0,[],5
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,biobert-300tokens,0.010389089584350586,0.866191222,0.0,0.0,[],5
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,openai-large-1000tokens,0.0395510196685791,0.4247121340000001,0.05,0.25,['inhibitors'],5
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,openai-large-500tokens,0.034739017486572266,0.43315044199999997,0.0,0.0,[],5
Which inhibitors were used to disrupt FASN in the HSV-1 lipid metabolism study?,factual_comprehension,openai-large-300tokens,0.03544497489929199,0.423741728,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,bert-500tokens,0.009894132614135742,0.784357266,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,bert-300tokens,0.011297941207885742,0.78824326,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,biobert-500tokens,0.010343790054321289,0.8400747220000001,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,biobert-300tokens,0.010622262954711914,0.8578007900000001,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,openai-large-1000tokens,0.028213024139404297,0.472553948,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,openai-large-500tokens,0.02765488624572754,0.474700758,0.0,0.0,[],5
How do external lipid sources compensate for FASN depletion in HSV-1 infected cells?,mechanistic,openai-large-300tokens,0.034364938735961914,0.48685088600000004,0.0,0.0,[],5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,bert-500tokens,0.009746074676513672,0.762872496,0.1,0.5,"['pkr', 'hsv-1']",5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,bert-300tokens,0.00976419448852539,0.7728280359999999,0.0,0.0,[],5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,biobert-500tokens,0.009877204895019531,0.857997306,0.3,0.5,"['pkr', 'hsv-1']",5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,biobert-300tokens,0.009944677352905273,0.866954544,0.15,0.5,"['pkr', 'hsv-1']",5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,openai-large-1000tokens,0.03426218032836914,0.734832402,0.75,1.0,"['adar1-deficient', 'pkr', 'hsv-1', 'hyperactivation']",5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,openai-large-500tokens,0.03531479835510254,0.7608184440000001,0.65,1.0,"['adar1-deficient', 'pkr', 'hyperactivation', 'hsv-1']",5
What happens to PKR in ADAR1-deficient cells infected with HSV-1?,factual_comprehension,openai-large-300tokens,0.03120899200439453,0.7703658959999999,0.65,1.0,"['adar1-deficient', 'pkr', 'hsv-1', 'hyperactivation']",5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,bert-500tokens,0.010162115097045898,0.780327108,0.0,0.0,[],5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,bert-300tokens,0.010310173034667969,0.787334736,0.05,0.25,['adar1 p150'],5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,biobert-500tokens,0.010160207748413086,0.8456107239999999,0.1,0.25,['adar1 p150'],5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,biobert-300tokens,0.010170221328735352,0.861207426,0.1,0.25,['adar1 p150'],5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,openai-large-1000tokens,0.03283095359802246,0.740072174,0.3,0.5,"['adar1 p150', 'activation threshold']",5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,openai-large-500tokens,0.02197408676147461,0.7665775180000001,0.3,0.5,"['adar1 p150', 'activation threshold']",5
How does ADAR1 p150 prevent PKR hyperactivation during HSV-1 infection?,mechanistic,openai-large-300tokens,0.032962799072265625,0.7817475600000001,0.3,0.5,"['adar1 p150', 'activation threshold']",5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,bert-500tokens,0.010694742202758789,0.79289482,0.04,0.2,['gr'],5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,bert-300tokens,0.00970602035522461,0.80372178,0.0,0.0,[],5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,biobert-500tokens,0.010032176971435547,0.865567978,0.12,0.2,['gr'],5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,biobert-300tokens,0.010093927383422852,0.88127391,0.24,0.8,"['vp16', 'gr', 'icp0', 'icp4']",5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,openai-large-1000tokens,0.03286385536193848,0.651042904,0.44,0.8,"['vp16', 'gr', 'icp0', 'icp4']",5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,openai-large-500tokens,0.03658413887023926,0.6712319900000001,0.44,0.8,"['vp16', 'gr', 'icp0', 'icp4']",5
Which viral proteins are stimulated by GR and stress-induced transcription factors?,factual_comprehension,openai-large-300tokens,0.033503055572509766,0.6730216880000001,0.44,0.8,"['vp16', 'gr', 'icp0', 'icp4']",5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,bert-500tokens,0.010437965393066406,0.759411862,0.05,0.25,['latency'],5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,bert-300tokens,0.009279966354370117,0.775363432,0.0,0.0,[],5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,biobert-500tokens,0.00970768928527832,0.866130444,0.15,0.5,"['latency', 'viral promoters']",5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,biobert-300tokens,0.011982917785644531,0.876935954,0.25,0.5,"['latency', 'viral promoters']",5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,openai-large-1000tokens,0.03302001953125,0.703790538,0.35,0.75,"['latency', 'viral promoters', 'glucocorticoid receptor']",5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,openai-large-500tokens,0.03311896324157715,0.72943602,0.3,0.5,"['latency', 'glucocorticoid receptor']",5
How does stress-mediated GR activation accelerate HSV reactivation from latency?,mechanistic,openai-large-300tokens,0.0369260311126709,0.761495844,0.3,0.5,"['latency', 'glucocorticoid receptor']",5
